100:100 160:100 220:100 280:100 340:100 400:100 460:100 520:100 580:100 640:100 700:100 760:100 820:100 880:100 940:100
100:160 160:160 220:160 280:160 340:160 400:160 460:160 520:160 580:160 640:160 700:160 760:160 820:160 880:160 940:160
100:220 160:220 220:220 280:220 340:220 400:220 460:220 520:220 580:220 640:220 700:220 760:220 820:220 880:220 940:220
100:280 160:280 220:280 280:280 340:280 400:280 460:280 520:280 580:280 640:280 700:280 760:280 820:280 880:280 940:280
100:340 160:340 220:340 280:340 340:340 400:340 460:340 520:340 580:340 640:340 700:340 760:340 820:340 880:340 940:340
100:400 160:400 220:400 280:400 340:400 400:400 460:400 520:400 580:400 640:400 700:400 760:400 820:400 880:400 940:400
100:460 160:460 220:460 280:460 340:460 400:460 460:460 520:460 580:460 640:460 700:460 760:460 820:460 880:460 940:460
100:520 160:520 220:520 280:520 340:520 400:520 460:520 520:520 580:520 640:520 700:520 760:520 820:520 880:520 940:520
100:580 160:580 220:580 280:580 340:580 400:580 460:580 520:580 580:580 640:580 700:580 760:580 820:580 880:580 940:580
100:640 160:640 220:640 280:640 340:640 400:640 460:640 520:640 580:640 640:640 700:640 760:640 820:640 880:640 940:640
100:700 160:700 220:700 280:700 340:700 400:700 460:700 520:700 580:700 640:700 700:700 760:700 820:700 880:700 940:700
100:760 160:760 220:760 280:760 340:760 400:760 460:760 520:760 580:760 640:760 700:760 760:760 820:760 880:760 940:760
100:820 160:820 220:820 280:820 340:820 400:820 460:820 520:820 580:820 640:820 700:820 760:820 820:820 880:820 940:820
100:880 160:880 220:880 280:880 340:880 400:880 460:880 520:880 580:880 640:880 700:880 760:880 820:880 880:880 940:880
100:940 160:940 220:940 280:940 340:940 400:940 460:940 520:940 580:940 640:940 700:940 760:940 820:940 880:940 940:940
